"id_palabra","Palabra","id_cronista","id_texto","cita","pagina"
9009,"Amaros",9,"T9012","Ay otro género de <italic>guaca</italic> ques cierto género de culebra de diferentes hechuras.  Las adoran y sirven.  Tomaron las <italic>yngas</italic> prencipales sus apellidos.  Nómbranse <italic>machacuay</italic> y <strong>amaro</strong>.  Estas, quando pueden ser avidas, bibas, las meten en tinajas y las sustentan muchos años con sangre de cuyes y con yervas, y les hazen muchas fiestas y sacrificios.",174
9009,"Amaros",9,"T9013","Aunque pienso dar fastidio diré una niñería y patraña que los naturales de los confines de <italic>Lima</italic> tienen en la sierra, como ban a <italic>Guadocherí</italic> de acá, en todas las lagunas antes que llegan a Las Escaleras, y es que naturaleza en aquellas peñas, en la traviesa dellas que atraviesa el camino real de una legua a otra, crío una beta de mármol blanco de longitud larga.  Y los naturales cercanos a ella creen y dizen que, cuando los españoles entraron en estos reinos, salió de la una laguna la culebra llamada <strong>amaro</strong> para irse a la otra y con la nueva se enfrió y se tornó piedra.  Tiene señal de culebra, porque yo la e visto.  Todas las <italic>provincias</italic> alrededor la <italic>mochan</italic>, cuando pasan por allí, con mucha reverencia.  Dízese tener en los <italic>yauyos</italic> muchos servicio[s] y ganados y chácaras que le an ofrescido y en <italic>Guadochirí</italic>y en los pueblos allí comarcanos.  Yo e visto encima della muchos <italic>acollicos</italic> y ofrescimientos todas las bezes que por allí e pasado.",175
9010,"Amayabamba",9,"T9014","<italic>Apotinia [¿Potinia?] uiracocha</italic>, era una piedra como indio, dezían que era hijo del hazedor en un cerro encima del pueblo de <strong>Amayabamba</strong>.",180
9011,"Anaguancas",9,"T9015","<italic>Guarivilca</italic>, <italic>guaca</italic> muy prencipal de los dichos <strong>anaguancas</strong>, es una piedra como indio.  Está en un llano junto al <italic>tambo</italic> <italic>Guancayo</italic>, cerca, en un corral.",183
9012,"Anaguarque",9,"T9016","<italic>Guana cauri</italic>, <strong>Anaguarque</strong> e <italic>Auiraca</italic>, <italic>guacas</italic>en el dicho valle, tres piedras en un cerro en memoria de las del <italic>Cuzco</italic>.",180
9013,"Ananchancas",9,"T9017","<italic>Uscovilca</italic> es <italic>guaca</italic> de los indios <strong>ananchancas</strong>.  Es una piedra a manera de indio bestido.  Tenía casa en el pueblo de <italic>Andaguailas</italic>.",181
9014,"Anansayos",9,"T9018","<italic>Reuisse</italic>, <italic>guaca</italic> de los indios <strong>anansayos</strong> del <italic>ayllo</italic> de <italic>Anuñuc</italic>, es un cerro grande adonde están unas piedras junto al pueblo dicho de <italic>Anuñoc</italic>.  <italic>Guica</italic>, <italic>guaca</italic> de los dichos anansayas del <italic>ayllo</italic> de <italic>Cauansibi</italic>, es un cerro grande.  Son piedras junto al pueblo de <italic>Cauanssibe</italic>.",186
9015,"Anca",9,"T9019","<strong>Anca</strong>, un cerro encima del <italic>Cuzco</italic> y en él muchas piedras <italic>guacas</italic>.",179
9016,"Ancas Pata",9,"T9020","<strong>Ancas pata</strong> es un peñon donde estava la casa de <italic>Uiracocha Ynga</italic>.",179
9017,"Ancouilca",9,"T9021","<italic>Yarobaha</italic>, <italic>guaca</italic> prencipal de los indios <italic>hurinsayas</italic> de <italic>Guánoco</italic>, es una piedra en un cerro nevado.  Está junto al pueblo <italic>Hurcumanor</italic> [?].  <italic>Guamas</italic>, <italic>guaca</italic>  prencipal de <italic>Caylloycoc guanoco</italic>, es una piedra questá en un cerro pequeño junto al pueblo de <italic>Chuchua</italic>.  <strong>Ancouilca</strong>, <italic>guaca</italic> prencipal de los indios <italic>guanocos pincos</italic>, es una piedra questá en un cerro pequeño junto al pueblo de <italic>Pincos</italic>.  <italic>Chauin</italic>, <italic>guaca</italic> prencipal de los indios <italic>guariguanocos</italic>, es una piedra questá en una plaÇa que se llama <italic>Ayas pampa</italic>.  Llámase el pueblo <italic>Ayas</italic>.",185
9017,"Ancouilca",9,"T9022","<strong>Ancovilca</strong> era <italic>guaca</italic> de los indios <italic>hurinchangas</italic>.  Era una piedra que traían consigo donde quiera que iban y tenía casa.",181
9018,"Andaguailas",9,"T9023","<italic>Uscovilca</italic> es <italic>guaca</italic> de los indios <italic>ananchancas</italic>.  Es una piedra a manera de indio bestido.  Tenía casa en el pueblo de <strong>Andaguailas</strong>.",181
9018,"Andaguailas",9,"T9024","Estos predicadores hizieron tal impresión en muchas <italic>provincias</italic> que, ya que no pudieron tomar armas porque fueron sentidos y se hallaron a muchos casi con ellas en las manos, como en <italic>Xauxa</italic> y en <strong>Andaguailas</strong> y en otras <italic>provincias</italic> grandes en tiempo del Señor governador Castro, quedaron en su esperança y creencia de lo que les predicavan, que eran muchas cosas feas contra nuestra religión y en favor de su cimplic[i]dad y vicio de carne tomando un género de baile que intitularon <italic>taqui ongo</italic>, por otro nombre <italic>ayra</italic>.",194
9019,"Andazana",9,"T9025","<italic>Biccinca</italic>, <italic>guaca</italic> prencipal de los indios <italic>quitos</italic>, es un cerro nevado alto junto a la ciudad de <italic>Quito</italic>.  <italic>Yllinca</italic>, <italic>guaca</italic> prencipal de los dichos indios <italic>quitos</italic>, es un cerrillo pequeño nevado, junto al pueblo de <italic>Panza liubu</italic>.  <strong>Andazana</strong>, <italic>guaca</italic> de los dichos <italic>quitos</italic> de la <italic>parcialidad</italic> <italic>Quinigui</italic>, es un cerrillo pequeño.  Está en él una piedra pequeña.",189
9020,"Andes",9,"T9026","Tienen otro género de <italic>guacas</italic> que llaman <italic>uilcas</italic>, que aunque la <italic>uilca</italic> es un género de fruta ponÇoñosa que nace y se da en los <strong>Andes<strong> tierra caliente, de hechura de una blanca de cobre de Castilla, cúranse y púrganse con ella y se entierran con ella en las más <italic>provincias</italic> de este reino.  Ase de advertir que unas figuras como carneros de madera y piedra y [que ] tienen un hueco como tintero, ques donde se muele esta  <italic>uilca</italic>, se a de procurar buscar y destruir.  Llámase el tintero <italic>uilcana</italic> y la adoran y reverencian.  Es esta <italic>uilcana</italic> hecha de muchas diferencias de piedras hermosas y de maderas fuertes.  Tienen, fuera de esta  <italic>uilca</italic>, otros muy muchos géneros de medicinas que les llaman  <italic>uilcas</italic>, en especial de purgas.   Ay muchos géneros de médicos que todos son <italic>hechizeros</italic> que usan de curar e inbocan al demonio primero que comiencen a curar, y esto es cierto y…",172
9020,"Andes",9,"T9027","También tienen esta supestrición en unos pájaros galanos de los <strong>Andes</strong>, que llaman <italic>tunqui</italic> y le[s] han puesto por nombre <italic>guacanqui</italic>.",173
9020,"Andes",9,"T9028","<italic>Guallallo</italic>, <italic>guaca</italic> prencipal de toda la provincia de <italic>yauyos</italic> y <italic>Guancas</italic>, es un cerro alto y nevado y hazia a los <strong>Andes</strong> de <italic>Xauxa</italic>.",183
9021,"Andesuyo",9,"T9029","Durante el govierno de los <italic>yngas</italic> hizieron cuatro veretas generales en toda la tierraque poseyesse[n], que los títulos dellas se intitulan <italic>Chinchaysuyo</italic>. <italic>Collasuyo</italic>. <strong>Andesuyo</strong>. <italic>Condesuyo</italic>, a los cuales les dio figuras y señal de bestidura y tocado con señales por donde eran conoscidos y <italic>guacas</italic> generales.  Y juntamente les dio unas <italic>guaquillas</italic> de piedras de diferenciados colores que les llamo <italic>auqui</italic>, que los traían con sus personas en las <italic>chuspas</italic>, como los cristianos tienen figuras de santos a quienes reverencian.  Servían de paramentos y promesas que hazían en los <italic>auquis</italic> de tratar verdad en las juntas que hazían para todo género de govierno. Ay muchos destos entre los naturales y son de mucho daño por la fe que en ellas tienen; dávanse en <italic>Pachacama</italic> en los llanos y en <italic>Curicanche</italic> /sic/ en el <italic>Cuzco</italic> por sus sacerdotes <italic>guacamayos</italic>.",164
